Timestamp,volData,currentData,batTempData,socData,sohData,motTempData,speedData
788,3.68465,0.309635656,31.8,62,87,32,115
790,3.7471,0.298873603,31.8,62,87,32,123
792,3.76271,0.321008819,31.8,62,87,32,125
794,3.76271,0.32213745,31.8,62,87,32,119
796,3.77832,0.329894001,31.8,62,87,32,114
798,3.65342,0.329808008,31.8,60,86,32,122
800,3.71587,0.287320321,31.8,60,86,32,123
802,3.80955,0.29892254,31.8,60,86,32,125
804,3.82516,0.314217913,31.8,60,86,32,113
806,3.7471,0.298595695,31.8,60,86,32,115
808,3.65342,0.308556295,31.8,60,86,32,113
810,3.84077,0.301207142,32,60,86,32,122
812,3.71587,0.327960367,34.5,60,86,32,112
814,3.82516,0.286385923,37.9,60,86,33,124
816,3.7471,0.324783589,37.9,60,86,34,111
818,3.85639,0.316314663,37.1,60,86,34,115
820,3.84077,0.308768956,36.4,60,86,34,113
822,3.7471,0.322817284,35.7,60,86,34,112
824,3.7471,0.307454963,35.1,60,86,35,125
826,3.7471,0.29528024,34.6,60,86,35,121
828,3.82516,0.299614481,34.2,60,86,34,123
830,3.80955,0.322309623,33.7,60,86,34,116
832,3.68465,0.297356264,33.4,60,86,34,110
834,3.872,0.316776591,33.1,60,86,34,121
836,3.88761,0.322824961,32.9,60,86,34,114
838,3.85639,0.317750751,32.7,60,86,34,123
840,3.79394,0.296913379,32.5,60,86,34,111
842,3.872,0.313027978,32.5,60,86,34,120
844,3.872,0.315581676,32.3,60,86,34,117
846,3.90323,0.302589052,32.3,60,86,33,124
848,3.84077,0.320230007,32.3,60,86,33,112
850,3.90323,0.329976471,32.2,60,86,33,116
852,3.88761,0.282058097,32.2,60,86,33,110
854,3.91884,0.303210101,32.1,60,86,33,120
856,3.84077,0.305398327,32.1,60,86,33,125
858,3.90323,0.28278702,32.2,60,86,33,115
860,3.80955,0.312905944,32.3,60,86,33,115
862,3.80955,0.311572345,32.5,60,86,33,118
864,3.80955,0.312903593,32.5,60,86,33,112
866,3.82516,0.288646993,32.4,60,86,33,117
868,3.84077,0.329492741,32.4,60,86,33,112
870,3.88761,0.304889646,32.3,60,86,33,115
872,3.85639,0.323230522,32.3,60,86,33,121
874,3.91884,0.300183763,32.2,60,86,33,122
876,3.88761,0.291209669,32.2,60,86,33,120
878,3.90323,0.284641609,32.2,60,86,33,110
880,3.90323,0.283736303,32.1,60,86,33,117
882,3.88761,0.326972979,32.1,60,86,33,113
884,3.88761,0.320105679,32,60,86,33,115
886,3.91884,0.295548974,34.1,60,86,33,121
888,3.872,0.288679624,33.8,60,86,33,112
890,3.95006,0.302884775,33.4,60,86,33,111
892,3.85639,0.298870463,33.5,60,86,33,121
894,3.93445,0.325815762,33.7,60,86,33,117
896,3.91884,0.322853505,33.7,60,86,33,118
898,3.872,0.282866593,33.5,60,86,33,118
900,3.90323,0.28620382,33.4,60,86,33,120
902,3.95006,0.282284755,33.2,60,86,33,124
904,3.84077,0.315109611,33.1,60,86,33,116
906,3.90323,0.282046025,32.9,60,86,33,121
908,3.80955,0.316402775,38.1,60,86,33,116
910,3.872,0.311239132,38.4,60,86,33,115
912,3.82516,0.321361284,37.5,60,86,34,114
914,3.82516,0.326412436,37.5,60,86,36,125
916,3.85639,0.304528622,37.3,60,86,36,118
918,3.88761,0.292738954,37.1,60,86,37,123
920,3.872,0.29288522,36.7,60,86,37,121
922,3.77832,0.282664052,36.4,60,86,38,116
924,3.85639,0.292777406,36.1,60,86,38,123
926,3.90323,0.288289563,35.8,60,86,38,124
928,3.91884,0.2988578,35.5,60,86,38,115
930,3.90323,0.310167911,34.1,60,86,38,116
932,3.77832,0.329193211,33.5,60,86,38,113
934,3.84077,0.308626418,33.4,60,86,38,115
936,3.872,0.290695407,33.4,60,86,38,122
938,3.84077,0.309161433,33.3,60,86,38,123
940,3.88761,0.297499498,33.2,60,86,38,115
942,3.85639,0.29713324,33,60,86,38,112
944,3.85639,0.282575014,32.9,60,86,38,118
946,3.85639,0.285547108,32.8,60,86,37,110
948,3.85639,0.313806669,32.6,60,86,37,117
950,3.85639,0.326302178,32.5,60,86,37,112
952,3.7471,0.285848985,32.5,60,86,37,110
954,3.80955,0.313115903,32.3,60,86,37,120
956,3.77832,0.320289276,32.3,60,86,37,112
958,3.73148,0.292666982,32.2,60,86,37,114
960,3.84077,0.327978892,32.2,60,86,37,122
962,3.79394,0.320249742,32.1,60,86,37,121
964,3.80955,0.287361025,32,60,86,36,110
966,3.79394,0.299035057,32,60,86,36,120
968,3.84077,0.301190036,32,60,86,36,115
970,3.84077,0.317663731,32,60,86,36,125
972,3.84077,0.3273897,31.9,60,86,36,125
974,3.82516,0.30006515,31.9,60,86,36,113
976,3.76271,0.295186936,31.9,60,86,36,115
978,3.80955,0.298860125,31.9,60,86,36,122
980,3.82516,0.324790476,31.9,60,86,35,120
982,3.7471,0.317036862,31.9,60,86,35,112
984,3.82516,0.280263939,31.9,60,86,35,112
986,3.84077,0.317711434,31.9,60,86,35,121
988,3.82516,0.2805512,31.9,60,86,35,110
990,3.79394,0.312072259,31.9,60,86,35,125
992,3.82516,0.292587816,31.9,60,86,35,122
994,3.80955,0.303785157,31.9,60,86,35,113
996,3.84077,0.326200646,31.9,60,86,35,124
998,3.7471,0.285536964,31.9,60,86,35,110
1000,3.80955,0.284344561,31.8,60,86,34,115
1002,3.80955,0.326388434,31.8,60,86,34,117
1004,3.82516,0.311593732,31.8,60,86,34,119
1006,3.84077,0.306092787,31.8,60,86,34,123
1008,3.82516,0.286038244,31.8,60,86,34,115
1010,3.82516,0.316517523,31.8,60,86,34,111
1012,3.80955,0.293545656,31.8,60,86,34,120
1014,3.77832,0.329386235,31.8,60,86,34,125
1016,3.70026,0.283919026,31.8,60,86,34,117
1018,3.82516,0.309359061,31.8,60,86,34,111
1020,3.79394,0.317600755,31.7,60,86,34,112
1022,3.84077,0.283735582,31.8,60,86,34,111
1024,3.80955,0.320842991,31.8,60,86,34,114
1026,3.7471,0.296770147,31.7,60,86,34,114
1028,3.80955,0.303440905,31.8,60,86,33,113
1030,3.82516,0.325186208,31.8,60,86,33,117
1032,3.872,0.329623493,31.8,60,86,33,113
1034,3.872,0.322881731,31.7,60,86,33,110
1036,3.872,0.327745028,31.8,60,86,33,115
1038,3.84077,0.305503421,31.8,60,86,33,119
1040,3.76271,0.285328816,31.8,60,86,33,123
1042,3.80955,0.326124842,31.8,60,86,33,121
1044,3.82516,0.298164645,31.8,60,86,33,115
1046,3.80955,0.283993202,31.8,60,86,33,112
1048,3.79394,0.323080442,31.8,60,86,33,111
1050,3.80955,0.316539333,31.7,60,86,33,124
1052,3.82516,0.324251664,31.8,60,86,33,122
1054,3.76271,0.319277175,31.8,60,86,33,115
1056,3.84077,0.297170963,31.8,60,86,33,110
1058,3.76271,0.317343252,31.8,60,86,33,122
1060,3.7471,0.30717202,31.8,60,86,33,111
1062,3.82516,0.302837574,31.8,60,86,33,123
1064,3.76271,0.320585111,31.8,60,86,33,124
1066,3.76271,0.306966338,31.8,60,86,33,114
1068,3.85639,0.290267747,31.8,60,86,33,112
1070,3.84077,0.287256798,31.8,60,86,33,119
1072,3.76271,0.282692104,31.8,60,86,33,122
1074,3.80955,0.310163873,31.8,60,86,33,123
1076,3.73148,0.315230424,31.8,60,86,33,122
1078,3.80955,0.321475368,31.8,60,86,32,124
1080,3.85639,0.309831734,31.8,60,86,32,120
